El   ANO-R0            ANO-R1            ANO-R2            ANO-R3
----------------------------------------------------------------------------
H    1s                2s1p              3s2p1d            3s2p1d          
He   1s                2s1p              3s2p1d            3s2p1d          
Li   2s                3s1p              4s2p              4s2p            
Be   2s                3s1p              4s2p              5s4p2d1f        
B    2s1p              3s2p1d            4s3p1d            4s3p1d          
N    2s1p              3s2p1d            4s4p2d1f          4s4p2d1f        
C    2s1p              3s2p1d            4s4p2d1f          4s4p2d1f        
O    2s1p              3s2p1d            4s4p2d1f          4s4p2d1f        
F    2s1p              3s2p1d            4s4p2d1f          4s4p2d1f        
Ne   2s1p              3s2p1d            5s4p2d1f          5s4p2d1f        
Na   3s1p              4s2p1d            6s4p4d1f          6s4p4d1f        
Mg   3s1p              4s3p1d            5s5p3d1f          5s5p3d1f        
Al   3s2p              4s3p1d            5s4p3d1f          6s5p4d2f1g      
Si   3s2p              4s3p1d            5s4p3d1f          6s5p4d2f1g      
P    3s2p              4s3p1d            5s4p3d1f          6s5p4d2f1g      
S    3s2p              4s3p1d            5s4p3d1f          6s5p4d3f1g      
Cl   3s2p              4s3p1d            5s4p3d1f          6s5p4d3f1g      
Ar   3s2p              4s3p1d            5s4p3d1f          6s5p4d2f1g      
K    4s2p              4s3p1d            5s4p3d1f          6s5p3d2f1g      
Ca   4s2p              4s3p1d            6s5p3d1f          7s6p4d3f1g      
Sc   4s2p1d            5s4p2d1f          6s5p4d2f1g        7s5p5d3f2g      
Ti   4s2p1d            5s4p3d1f          6s5p4d2f1g        7s5p5d3f2g1h    
V    4s2p1d            5s3p3d1f          6s4p4d2f1g        7s5p5d3f2g1h    
Cr   4s2p1d            5s3p3d1f          6s4p4d2f          7s5p5d3f1g      
Mn   4s2p1d            5s3p3d1f          7s4p4d2f1g        8s5p5d3f2g1h    
Fe   4s2p1d            5s4p2d1f          6s5p4d2f1g        7s5p5d3f2g1h    
Co   4s2p1d            5s3p2d1f          7s5p4d2f1g        8s5p5d3f2g1h    
Ni   4s2p1d            5s4p2d1f          6s5p4d2f1g        7s5p5d3f2g1h    
Cu   4s2p1d            5s3p2d1f          6s4p4d2f1g        7s5p5d3f2g1h    
Zn   4s2p1d            5s4p2d1f          6s5p4d2f1g        7s5p5d3f2g1h    
Ga   4s3p1d            5s4p3d1f          6s5p4d3f1g        7s6p5d4f2g      
Ge   4s3p1d            5s4p3d1f          6s5p4d3f1g        7s6p5d4f2g      
As   4s3p1d            5s4p3d1f          6s5p4d3f1g        7s6p5d3f2g      
Se   4s3p1d            5s4p3d1f          6s6p4d3f1g        7s6p5d3f1g      
Br   4s3p1d            5s4p3d1f          6s5p4d2f1g        7s6p5d4f2g      
Kr   4s3p1d            5s4p3d1f          6s5p4d3f1g        7s6p5d4f2g1h    
Rb   5s3p1d            5s4p2d            6s5p3d2f          7s6p4d2f1g      
Sr   5s3p1d            5s4p2d            6s5p3d2f          8s6p5d3f2g      
Y    5s3p2d            5s4p3d1f          7s5p4d2f1g        8s6p6d3f2g1h    
Zr   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Nb   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p6d3f2g1h    
Mo   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Tc   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Ru   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Rh   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d4f2g1h    
Pd   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Ag   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
Cd   5s3p2d            6s4p3d1f          7s5p4d2f1g        8s6p5d3f2g1h    
