H.ANO-RCC-MB                             H.ANO-RCC...1s.
H.ANO-RCC-VDZ                            H.ANO-RCC...2s.
H.ANO-RCC-VDZP                           H.ANO-RCC...2s1p.
H.ANO-RCC-VTZP                           H.ANO-RCC...3s2p1d.
H.ANO-RCC-VQZP                           H.ANO-RCC...4s3p2d1f.
He.ANO-RCC-MB                            He.ANO-RCC...1s.
He.ANO-RCC-VDZ                           He.ANO-RCC...2s.
He.ANO-RCC-VDZP                          He.ANO-RCC...2s1p.
He.ANO-RCC-VTZP                          He.ANO-RCC...3s2p1d.
He.ANO-RCC-VQZP                          He.ANO-RCC...4s3p2d1f.
Li.ANO-RCC-MB                            Li.ANO-RCC...2s1p.
Li.ANO-RCC-VDZ                           Li.ANO-RCC...3s2p.
Li.ANO-RCC-VDZP                          Li.ANO-RCC...3s2p1d.
Li.ANO-RCC-VTZP                          Li.ANO-RCC...4s3p2d1f.
Li.ANO-RCC-VTZ                           Li.ANO-RCC...4s3p2d.
Li.ANO-RCC-VQZP                          Li.ANO-RCC...5s4p3d2f1g.
Be.ANO-RCC-MB                            Be.ANO-RCC...2s1p.
Be.ANO-RCC-VDZ                           Be.ANO-RCC...3s2p.
Be.ANO-RCC-VDZP                          Be.ANO-RCC...3s2p1d.
Be.ANO-RCC-VTZP                          Be.ANO-RCC...4s3p2d1f.
Be.ANO-RCC-VTZ                           Be.ANO-RCC...4s3p2d.
Be.ANO-RCC-VQZP                          Be.ANO-RCC...5s4p3d2f1g.
B.ANO-RCC-MB                             B.ANO-RCC...2s1p.
B.ANO-RCC-VDZ                            B.ANO-RCC...3s2p.
B.ANO-RCC-VDZP                           B.ANO-RCC...3s2p1d.
B.ANO-RCC-VTZP                           B.ANO-RCC...4s3p2d1f.
B.ANO-RCC-VTZ                            B.ANO-RCC...4s3p2d.
B.ANO-RCC-VQZP                           B.ANO-RCC...5s4p3d2f1g.
C.ANO-RCC-MB                             C.ANO-RCC...2s1p.
C.ANO-RCC-VDZ                            C.ANO-RCC...3s2p.
C.ANO-RCC-VDZP                           C.ANO-RCC...3s2p1d.
C.ANO-RCC-VTZ                            C.ANO-RCC...4s3p2d.
C.ANO-RCC-VTZP                           C.ANO-RCC...4s3p2d1f.
C.ANO-RCC-VQZP                           C.ANO-RCC...5s4p3d2f1g.
N.ANO-RCC-MB                             N.ANO-RCC...2s1p.
N.ANO-RCC-VDZ                            N.ANO-RCC...3s2p.
N.ANO-RCC-VDZP                           N.ANO-RCC...3s2p1d.
N.ANO-RCC-VTZ                            N.ANO-RCC...4s3p2d.
N.ANO-RCC-VTZP                           N.ANO-RCC...4s3p2d1f.
N.ANO-RCC-VQZP                           N.ANO-RCC...5s4p3d2f1g.
O.ANO-RCC-MB                             O.ANO-RCC...2s1p.
O.ANO-RCC-VDZ                            O.ANO-RCC...3s2p.
O.ANO-RCC-VDZP                           O.ANO-RCC...3s2p1d.
O.ANO-RCC-VTZP                           O.ANO-RCC...4s3p2d1f.
O.ANO-RCC-VTZ                            O.ANO-RCC...4s3p2d.
O.ANO-RCC-VQZP                           O.ANO-RCC...5s4p3d2f1g.
F.ANO-RCC-MB                             F.ANO-RCC...2s1p.
F.ANO-RCC-VDZ                            F.ANO-RCC...3s2p.
F.ANO-RCC-VDZP                           F.ANO-RCC...3s2p1d.
F.ANO-RCC-VTZ                            F.ANO-RCC...4s3p2d.
F.ANO-RCC-VTZP                           F.ANO-RCC...4s3p2d1f.
F.ANO-RCC-VQZP                           F.ANO-RCC...5s4p3d2f1g.
Ne.ANO-RCC-MB                            Ne.ANO-RCC...2s1p.
Ne.ANO-RCC-VDZ                           Ne.ANO-RCC...3s2p.
Ne.ANO-RCC-VDZP                          Ne.ANO-RCC...3s2p1d.
Ne.ANO-RCC-VTZ                           Ne.ANO-RCC...4s3p2d.
Ne.ANO-RCC-VTZP                          Ne.ANO-RCC...4s3p2d1f.
Ne.ANO-RCC-VQZP                          Ne.ANO-RCC...5s4p3d2f1g.
Na.ANO-RCC-MB                            Na.ANO-RCC...3s2p.
Na.ANO-RCC-VDZ                           Na.ANO-RCC...4s3p.
Na.ANO-RCC-VDZP                          Na.ANO-RCC...4s3p1d.
Na.ANO-RCC-VTZ                           Na.ANO-RCC...5s4p2d.
Na.ANO-RCC-VTZP                          Na.ANO-RCC...5s4p2d1f.
Na.ANO-RCC-VQZP                          Na.ANO-RCC...6s5p3d2f1g.
Mg.ANO-RCC-MB                            Mg.ANO-RCC...3s2p.
Mg.ANO-RCC-VDZ                           Mg.ANO-RCC...4s3p.
Mg.ANO-RCC-VDZP                          Mg.ANO-RCC...4s3p1d.
Mg.ANO-RCC-VTZ                           Mg.ANO-RCC...5s4p2d.
Mg.ANO-RCC-VTZP                          Mg.ANO-RCC...5s4p2d1f.
Mg.ANO-RCC-VQZP                          Mg.ANO-RCC...6s5p3d2f1g.
Al.ANO-RCC-MB                            Al.ANO-RCC...3s2p.
Al.ANO-RCC-VDZ                           Al.ANO-RCC...4s3p.
Al.ANO-RCC-VDZP                          Al.ANO-RCC...4s3p1d.
Al.ANO-RCC-VTZ                           Al.ANO-RCC...5s4p2d.
Al.ANO-RCC-VTZP                          Al.ANO-RCC...5s4p2d1f.
Al.ANO-RCC-VQZP                          Al.ANO-RCC...6s5p3d2f1g.
Si.ANO-RCC-MB                            Si.ANO-RCC...3s2p.
Si.ANO-RCC-VDZ                           Si.ANO-RCC...4s3p.
Si.ANO-RCC-VDZP                          Si.ANO-RCC...4s3p1d.
Si.ANO-RCC-VTZ                           Si.ANO-RCC...5s4p2d.
