H               He              Li              Be              B               C               N               O               F               Ne
13.087376  	19.248269  	44.408083 	 125.555856  	143.984140 	 120.498651  	151.440439  	327.922894 	 573.951315 	 342.098276 
1.185515 	 3.746353  	12.013820 	 32.426072  	44.596243 	 45.116782 	 59.396988  	103.186715 	 168.382717 	 110.242196 
0.368163 	 0.729165  	3.250126 	 8.374361  	13.812805 	 16.892505 	 23.296302  	32.469517 	 49.399206 	 35.525879 
NaN   NaN	0.879264 	 2.162764 	 4.278244 	 6.324846 	 9.137125  	10.217106 	 14.492471 	 11.448321 
NaN   NaN	0.237869 	 0.558556 	 1.325101 	 2.368132 	 3.583704 	 3.214992 	 4.251722 	 3.689256 
NaN   NaN	0.064351 	 0.144253 	 0.410424 	 0.886670 	 1.405577 	 1.011654 	 1.247347 	 1.188874 
2.288385 	 4.523992  	2.289800 	 4.997162 	 8.590813 	 13.216186 	 20.411097  	24.005447 	 28.763485 	 33.148687 
1.311828 	 1.648567  	0.708943 	 1.599968 	 2.638957 	 3.884909 	 5.431907 	 6.308031 	 7.280992 	 7.457743 
NaN    NaN	0.219495 	 0.512270 	 0.810644 	 1.141972 	 1.445567 	 1.657593 	 1.843060 	 1.677832 
NaN    NaN	0.067958 	 0.164016 	 0.249017 	 0.335684 	 0.384702 	 0.435574 	 0.466540 	 0.377476 
1.875349 	 1.472906  	0.641872 	 1.479514 	 2.746101 	 3.750089 	 4.255896 	 5.263808 	 7.084925 	 9.258256 
NaN	NaN	0.340209 	 0.508390 	 0.854346 	 1.207332 	 1.417789 	 1.743135 	 2.352044 	 2.997447 
NaN	NaN	0.180320 	 0.174693 	 0.265798 	 0.388698 	 0.472315 	 0.577247 	 0.780828 	 0.970451 
NaN 	NaN	0.235054 	 0.607087 	 0.911700 	 1.344106 	 1.485662 	 1.582739 	 1.686449 	 1.790922 
NaN 	NaN	0.299999 	 0.518946 	 0.637363 	 0.769479 	 0.979199 	 1.297901 	 1.287498 	 0.921868 
